"country","year","value","published","note","type"
"Belgium",2010,120514,"2012 to 2018","includes 1756 km of expressways","paved"
"Belgium",2010,120514,"2012 to 2018",NA,"paved"
"Belgium",2010,154012,"2012 to 2018",NA,"total"
"Belgium",2010,33498,"2012 to 2018",NA,"unpaved"
"Belgium",2015,118414,"2019 to 2023",NA,"paved"
"Belgium",2015,118414,"2019 to 2023",NA,"total"
"Belize",1999,488,"2006 to 2007",NA,"paved"
"Belize",1999,2872,"2006 to 2007",NA,"total"
"Belize",1999,2384,"2006 to 2007",NA,"unpaved"
"Belize",2006,575,"2008 to 2012",NA,"paved"
"Belize",2006,3007,"2008 to 2012",NA,"total"
"Belize",2006,2432,"2008 to 2012",NA,"unpaved"
"Belize",2011,488,"2013 to 2018",NA,"paved"
"Belize",2011,2870,"2013 to 2018",NA,"total"
"Belize",2011,2382,"2013 to 2018",NA,"unpaved"
"Belize",2017,601,"2019 to 2023",NA,"paved"
"Belize",2017,3281,"2019 to 2023",NA,"total"
"Belize",2017,2680,"2019 to 2023",NA,"unpaved"
"Benin",2005,1400,"2006 to 2007",NA,"paved"
"Benin",2005,16000,"2006 to 2007",NA,"total"
"Benin",2005,14600,"2006 to 2007",NA,"unpaved"
"Benin",2006,1400,"2008 to 2023",NA,"paved"
"Benin",2006,16000,"2008 to 2023",NA,"total"
"Benin",2006,14600,"2008 to 2023",NA,"unpaved"
"Bermuda",2002,447,"2006 to 2007",NA,"paved"
"Bermuda",2002,447,"2006 to 2007",NA,"total"
"Bermuda",2007,447,"2008 to 2012",NA,"paved"
"Bermuda",2007,447,"2008 to 2012",NA,"total"
"Bermuda",2010,447,"2013 to 2023",NA,"paved"
"Bermuda",2010,447,"2013 to 2023",NA,"total"
"Bhutan",2003,4991,"2006 to 2014",NA,"paved"
"Bhutan",2003,4991,"2006 to 2014","includes 622 km of expressways","paved"
"Bhutan",2003,8050,"2006 to 2014",NA,"total"
"Bhutan",2003,3059,"2006 to 2014",NA,"unpaved"
"Bhutan",2013,2975,"2015 to 2017","includes 2180 km of natonal highways","paved"
"Bhutan",2013,2975,"2015 to 2017","includes 2180 km of national highways","paved"
"Bhutan",2013,10578,"2015 to 2017",NA,"total"
"Bhutan",2013,7603,"2015 to 2018",NA,"unpaved"
"Bhutan",2017,12205,"2019 to 2023",NA,"total"
"Bhutan",NA,2975,"2018",NA,"paved"
"Bhutan",NA,10578,"2018",NA,"total"
"Bolivia",2003,4314,"2006","including 11 km of expressways","paved"
"Bolivia",2003,60762,"2006",NA,"total"
"Bolivia",2003,56448,"2006",NA,"unpaved"
"Bolivia",2004,3749,"2007 to 2010",NA,"paved"
"Bolivia",2004,4990,"2011",NA,"paved"
"Bolivia",2004,62479,"2007 to 2010",NA,"total"
"Bolivia",2004,13602,"2011","does not include urban roads","total"
"Bolivia",2004,58730,"2007 to 2010",NA,"unpaved"
"Bolivia",2004,8612,"2011",NA,"unpaved"
"Bolivia",2010,11993,"2012 to 2014",NA,"paved"
"Bolivia",2010,6850,"2015 to 2016",NA,"paved"
"Bolivia",2010,80488,"2012 to 2016",NA,"total"
"Bolivia",2010,68495,"2012 to 2014",NA,"unpaved"
"Bolivia",2010,73638,"2015 to 2016",NA,"unpaved"
"Bolivia",2017,9792,"2017 to 2023",NA,"paved"
"Bolivia",2017,90568,"2017 to 2023",NA,"total"
"Bolivia",2017,80776,"2017 to 2023",NA,"unpaved"
"Bosnia and Herzegovina",2005,11425,"2006","4686 km of interurban roads","paved"
"Bosnia and Herzegovina",2005,21846,"2006",NA,"total"
"Bosnia and Herzegovina",2005,10421,"2006",NA,"unpaved"
"Bosnia and Herzegovina",2006,11425,"2007 to 2010","4714 km of interurban roads","paved"
"Bosnia and Herzegovina",2006,21846,"2007 to 2010",NA,"total"
"Bosnia and Herzegovina",2006,10421,"2007 to 2010",NA,"unpaved"
"Bosnia and Herzegovina",2010,19426,"2011 to 2023","4652 km of interurban roads","paved"
"Bosnia and Herzegovina",2010,19426,"2011 to 2023",NA,"paved"
"Bosnia and Herzegovina",2010,22926,"2011 to 2023",NA,"total"
"Bosnia and Herzegovina",2010,3500,"2011 to 2023",NA,"unpaved"
"Botswana",2003,8867,"2006",NA,"paved"
"Botswana",2003,25233,"2006",NA,"total"
"Botswana",2003,16366,"2006",NA,"unpaved"
"Botswana",2004,8914,"2007",NA,"paved"
"Botswana",2004,24355,"2007",NA,"total"
"Botswana",2004,15441,"2007",NA,"unpaved"
"Botswana",2005,8410,"2008 to 2011",NA,"paved"
"Botswana",2005,25798,"2008 to 2011",NA,"total"
"Botswana",2005,17388,"2008 to 2011",NA,"unpaved"
"Botswana",2011,17916,"2012 to 2018","includes 8916 km of Public Highway Network roads - 6116 km paved and 2800 km unpaved and other 9000 km of District Council roads","total"
"Botswana",2011,17916,"2012 to 2018",NA,"total"
"Botswana",2017,9810,"2019 to 2023",NA,"paved"
"Botswana",2017,31747,"2019 to 2023",NA,"total"
"Botswana",2017,21937,"2019 to 2023",NA,"unpaved"
"Brazil",2000,94871,"2006",NA,"paved"
"Brazil",2000,1724929,"2006",NA,"total"
"Brazil",2000,1630058,"2006",NA,"unpaved"
"Brazil",2004,96353,"2007 to 2011",NA,"paved"
"Brazil",2004,1751868,"2007 to 2011",NA,"total"
"Brazil",2004,1655515,"2007 to 2011",NA,"unpaved"
"Brazil",2010,212798,"2012 to 2018",NA,"paved"
"Brazil",2010,1580964,"2012 to 2018",NA,"total"
"Brazil",2010,1368166,"2012 to 2018",NA,"unpaved"
"Brazil",2018,246000,"2019 to 2023",NA,"paved"
"Brazil",2018,2e+06,"2019 to 2023",NA,"total"
"Brazil",2018,1754000,"2019 to 2023",NA,"unpaved"
"British Virgin Islands",2002,177,"2006 to 2007",NA,"paved"
"British Virgin Islands",2002,177,"2006 to 2007",NA,"total"
"British Virgin Islands",2007,200,"2008 to 2023",NA,"paved"
"British Virgin Islands",2007,200,"2008 to 2023",NA,"total"
"Brunei Darussalam",2000,2338,"2006",NA,"paved"
"Brunei Darussalam",2000,2525,"2006",NA,"total"
"Brunei Darussalam",2000,187,"2006",NA,"unpaved"
"Brunei Darussalam",2005,2819,"2007 to 2009",NA,"paved"
